Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
jsoup,org.jsoup.nodes,Entities.CoreCharset,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
jsoup,org.jsoup.nodes,XmlDeclaration,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): LeafNode
jsoup,org.jsoup.nodes,TextNode,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): LeafNode
jsoup,org.jsoup.nodes,Comment,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): LeafNode
jsoup,org.jsoup.nodes,Node,Unexploited Encapsulation,The tool detected the smell because a set of type checks are performed while those types belong to the same hierarchy. The participating types that were checked are: Element; Document in method doClone
jsoup,org.jsoup.nodes,Node,Cyclic Hierarchy,The tool detected the smell in this class because the class depends on one of its subclasses (creating cycle in the hierarchy). The class is dependent on the following subclass: Element
jsoup,org.jsoup.nodes,Node,Missing Hierarchy,The tool detected the smell because a set of type checks are performed to explicitly manage variation in behavior where a hierarchy could have been formed consisting of these participating types. The participating types that were checked are: Element; Document in method doClone
jsoup,org.jsoup.nodes,Node,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 59 public methods
jsoup,org.jsoup.nodes,ElementTest,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 150 public methods
jsoup,org.jsoup.nodes,NodeTest,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 30 public methods
jsoup,org.jsoup.nodes,BuildEntities,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
jsoup,org.jsoup.nodes,BuildEntities.CharacterRef,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: codepoints; name; codeIndex
jsoup,org.jsoup.nodes,BuildEntities.CharacterRef,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
jsoup,org.jsoup.nodes,BuildEntities.ByCode,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
jsoup,org.jsoup.nodes,BuildEntities.ByCode,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
jsoup,org.jsoup.nodes,NodeIteratorTest,Unexploited Encapsulation,The tool detected the smell because a set of type checks are performed while those types belong to the same hierarchy. The participating types that were checked are: Element; TextNode in method trackSeen
jsoup,org.jsoup.nodes,NodeIteratorTest,Missing Hierarchy,The tool detected the smell because a set of type checks are performed to explicitly manage variation in behavior where a hierarchy could have been formed consisting of these participating types. The participating types that were checked are: Element; TextNode in method trackSeen
jsoup,org.jsoup.nodes,DocumentTest,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 33 public methods
jsoup,org.jsoup.nodes,AttributesTest,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 20 public methods
jsoup,org.jsoup.nodes,CommentTest,Feature Envy,The tool detected a instance of this smell because testClone is more interested in members of the type: Comment
jsoup,org.jsoup.nodes,ElementIT.TemplateMerger,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: templateDoc
jsoup,org.jsoup.nodes,ElementIT.TemplateMerger,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
jsoup,org.jsoup.helper,CookieUtil,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
jsoup,org.jsoup.helper,RequestAuthenticator.Context,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: url; type; realm
jsoup,org.jsoup.helper,RequestAuthenticator.Context,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
jsoup,org.jsoup.helper,W3CDom,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: SourceProperty; ContextProperty; ContextNodeProperty; XPathFactoryProperty; factory; namespaceAware; doc; namespaceAware; dest; syntax; contextElement; undefinedNs
